station_id,keys_A_only
38038026_10_46,0
38038027_10_49,0
38048001_10_49,0
39008001_10_49,0
39016003_10_49,0
39020001_10_49,0
39025001_10_49,0
39059001_10_49,0
39075005_10_49,0
39075006_10_49,0
39086001_10_49,0
39087003_10_49,0
39087004_10_49,0
39087005_10_49,0
40194002_10_49,0
41004006_10_49,0
41049001_10_49,0
41059001_10_49,0
41088001_10_49,0
41091009_10_49,0
41091015_10_49,0
41091016_10_49,0
41091018_10_49,0
42173001_10_49,0
43123005_10_47,0
45081004_10_49,0
45168002_10_49,0
46010001_10_46,0
46028001_10_46,0
46095001_10_46,0
46102002_10_46,0
46220003_10_46,0
46220010_10_46,0
46250030_10_46,0
46250046_10_46,0
46250047_10_46,0
46250048_10_46,0
46250054_10_46,0
46258001_10_46,0
47085003_10_49,0
47186027_10_49,0
47186029_10_49,0
47186030_10_49,0
47186031_10_49,0
48002001_10_47,0
48002002_10_49,0
48003001_10_49,0
48013006_10_47,0
48015002_10_49,0
48020003_10_47,0
48020006_10_47,0
48020062_10_49,0
48027001_10_47,0
48044006_10_49,0
48068001_10_47,0
48071002_10_47,0
48071004_10_49,0
48082004_10_49,0
48096001_10_49,0
48902006_10_49,0
48904002_10_47,0
49275002_10_49,0
50297029_10_49,0
50297032_10_49,0
50297036_10_49,0
50297039_10_49,0
50297040_10_49,0
51001001_10_49,0
