station_id,province,municipality,station_code,fails_id_stability,fails_daily_support,fails_year_count,fails_300_days_rule,fails_total_coverage,reason_codes
15055003_10_A,15,55,3,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
15059002_10_47,15,59,2,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
20069006_10_47,20,69,6,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
20902001_10_49,20,902,1,NO,NO,NO,YES,NO,fails_300_days_rule
21041010_10_49,21,41,10,NO,NO,NO,YES,NO,fails_300_days_rule
21041012_10_49,21,41,12,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
21041015_10_49,21,41,15,NO,NO,NO,YES,NO,fails_300_days_rule
21050003_10_49,21,50,3,NO,NO,YES,YES,YES,fails_year_count;fails_300_days_rule;fails_total_coverage
21053003_10_49,21,53,3,NO,NO,NO,YES,NO,fails_300_days_rule
21055005_10_49,21,55,5,NO,NO,NO,YES,NO,fails_300_days_rule
24025001_10_49,24,25,1,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
24057003_10_47,24,57,3,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
24061001_10_49,24,61,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
24064001_10_49,24,64,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
24115017_10_49,24,115,17,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
24134007_10_54,24,134,7,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
24206001_10_47,24,206,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
24206002_10_47,24,206,2,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
25209001_10_47,25,209,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
27038003_10_47,27,38,3,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
27038004_10_47,27,38,4,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
27038004_10_A,27,38,4,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
27057001_10_47,27,57,1,NO,NO,NO,YES,NO,fails_300_days_rule
27902002_10_A,27,902,2,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
28127004_10_49,28,127,4,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
28134002_10_49,28,134,2,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
29067007_10_49,29,67,7,NO,NO,NO,YES,NO,fails_300_days_rule
29069002_10_49,29,69,2,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
30016020_10_A,30,16,20,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
31201013_10_49,31,201,13,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
33024023_10_49,33,24,23,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
33024099_10_49,33,24,99,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
34023004_10_49,34,23,4,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
34214001_10_46,34,214,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
34225001_10_49,34,225,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
35002002_10_A,35,2,2,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
35004002_10_49,35,4,2,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
35016011_10_49,35,16,11,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
35016014_10_49,35,16,14,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
35019002_10_A,35,19,2,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
37177001_10_49,37,177,1,NO,NO,YES,YES,YES,fails_year_count;fails_300_days_rule;fails_total_coverage
38009001_10_49,38,9,1,NO,NO,NO,YES,NO,fails_300_days_rule
38024001_10_46,38,24,1,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
38031001_10_49,38,31,1,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
38038010_10_49,38,38,10,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
38038024_10_49,38,38,24,NO,NO,NO,YES,NO,fails_300_days_rule
42124001_10_49,42,124,1,NO,NO,YES,YES,YES,fails_year_count;fails_300_days_rule;fails_total_coverage
45165003_10_49,45,165,3,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
45165004_10_49,45,165,4,NO,NO,NO,YES,NO,fails_300_days_rule
45200001_10_49,45,200,1,NO,NO,NO,YES,NO,fails_300_days_rule
46062001_10_46,46,62,1,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
46077006_10_46,46,77,6,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
46184002_10_46,46,184,2,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
46244003_10_46,46,244,3,NO,NO,NO,YES,NO,fails_300_days_rule
46250055_10_46,46,250,55,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
46256001_10_46,46,256,1,NO,NO,NO,YES,YES,fails_300_days_rule;fails_total_coverage
47186023_10_49,47,186,23,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
47186024_10_49,47,186,24,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
48020066_10_49,48,20,66,NO,NO,NO,YES,NO,fails_300_days_rule
48913001_10_49,48,913,1,NO,NO,NO,YES,NO,fails_300_days_rule
50297037_10_49,50,297,37,NO,NO,NO,NO,YES,fails_total_coverage
52001002_10_A,52,1,2,NO,NO,YES,YES,NO,fails_year_count;fails_300_days_rule
