station_id,keys_A,keys_B,keys_intersection,keys_B_only,keys_A_only,primary_support_fraction,B_inflation_vs_A_pct
28006004_10_49,7170,7170,7170,0,0,1.0,0.0
28013002_10_49,6306,6306,6306,0,0,1.0,0.0
28014002_10_49,7588,7588,7588,0,0,1.0,0.0
28016001_10_49,7239,7239,7239,0,0,1.0,0.0
28045002_10_49,7369,7369,7369,0,0,1.0,0.0
28049003_10_49,7008,7008,7008,0,0,1.0,0.0
28058004_10_49,7469,7469,7469,0,0,1.0,0.0
28065014_10_49,7428,7428,7428,0,0,1.0,0.0
28067001_10_49,7294,7294,7294,0,0,1.0,0.0
28074007_10_49,6940,6940,6940,0,0,1.0,0.0
28079008_10_47,2408,5202,2408,2794,0,1.0,116.0299003322259
28079018_10_47,3384,6073,3384,2689,0,1.0,79.46217494089835
28079024_10_47,6033,6033,6033,0,0,1.0,0.0
28079036_10_47,6739,6739,6739,0,0,1.0,0.0
28079038_10_47,3487,6190,3487,2703,0,1.0,77.51648981932894
28079040_10_47,1265,6464,1265,5199,0,1.0,410.9881422924901
28079047_10_47,5189,5189,5189,0,0,1.0,0.0
28079048_10_47,5928,6285,5928,357,0,1.0,6.022267206477733
28079050_10_47,6384,6384,6384,0,0,1.0,0.0
28079055_10_47,4865,4865,4865,0,0,1.0,0.0
28079056_10_47,6901,6901,6901,0,0,1.0,0.0
28079057_10_47,5933,5933,5933,0,0,1.0,0.0
28079060_10_47,6695,6695,6695,0,0,1.0,0.0
28080003_10_49,7644,7644,7644,0,0,1.0,0.0
28092005_10_49,7441,7441,7441,0,0,1.0,0.0
28102001_10_49,7244,7244,7244,0,0,1.0,0.0
28120001_10_49,6847,6847,6847,0,0,1.0,0.0
28123002_10_49,6677,6677,6677,0,0,1.0,0.0
28133002_10_49,7532,7532,7532,0,0,1.0,0.0
28148004_10_49,6886,6886,6886,0,0,1.0,0.0
28171001_10_49,7144,7144,7144,0,0,1.0,0.0
29067005_10_49,6801,6801,6801,0,0,1.0,0.0
29067006_10_49,5307,5307,5307,0,0,1.0,0.0
29067008_10_49,4988,4988,4988,0,0,1.0,0.0
30005002_10_47,7227,7227,7227,0,0,1.0,0.0
30015001_10_47,2513,6391,2513,3878,0,1.0,154.3175487465181
30016001_10_47,6182,6182,6182,0,0,1.0,0.0
30016018_10_47,1518,5709,1518,4191,0,1.0,276.0869565217391
30016020_10_47,3613,3613,3613,0,0,1.0,0.0
30016021_10_47,2769,6001,2769,3232,0,1.0,116.72083784759842
30024002_10_47,6251,6251,6251,0,0,1.0,0.0
30030007_10_49,5293,5293,5293,0,0,1.0,0.0
31010001_10_49,5872,5872,5872,0,0,1.0,0.0
31107001_10_49,5324,5324,5324,0,0,1.0,0.0
31149002_10_49,3606,3606,3606,0,0,1.0,0.0
31191001_10_49,5672,5672,5672,0,0,1.0,0.0
31201012_10_49,4850,4850,4850,0,0,1.0,0.0
31201014_10_49,5731,5731,5731,0,0,1.0,0.0
31201015_10_49,612,3092,612,2480,0,1.0,405.2287581699346
31216001_10_49,5351,5351,5351,0,0,1.0,0.0
31232002_10_49,5651,5651,5651,0,0,1.0,0.0
31232003_10_49,4532,4532,4532,0,0,1.0,0.0
32032001_10_49,6254,6254,6254,0,0,1.0,0.0
32039001_10_49,6211,6211,6211,0,0,1.0,0.0
32054004_10_49,6013,6013,6013,0,0,1.0,0.0
33004020_10_49,6717,6717,6717,0,0,1.0,0.0
33004021_10_49,6698,6698,6698,0,0,1.0,0.0
33004048_10_49,6234,6234,6234,0,0,1.0,0.0
33004049_10_49,6342,6342,6342,0,0,1.0,0.0
33004052_10_49,735,5244,735,4509,0,1.0,613.469387755102
33011001_10_49,5669,5669,5669,0,0,1.0,0.0
33024024_10_49,6698,6698,6698,0,0,1.0,0.0
33024025_10_49,6473,6473,6473,0,0,1.0,0.0
33024027_10_49,6271,6271,6271,0,0,1.0,0.0
33024031_10_49,6344,6344,6344,0,0,1.0,0.0
33024032_10_49,6926,6926,6926,0,0,1.0,0.0
33031029_10_49,5668,5668,5668,0,0,1.0,0.0
33031030_10_49,5493,5493,5493,0,0,1.0,0.0
33031032_10_49,4464,5271,4464,807,0,1.0,18.077956989247312
33037012_10_49,6065,6065,6065,0,0,1.0,0.0
33044029_10_49,6618,6618,6618,0,0,1.0,0.0
33044030_10_49,6036,6036,6036,0,0,1.0,0.0
33044032_10_49,6879,6879,6879,0,0,1.0,0.0
33044033_10_49,6506,6506,6506,0,0,1.0,0.0
33060003_10_49,6137,6137,6137,0,0,1.0,0.0
33066004_10_49,6580,6580,6580,0,0,1.0,0.0
34023003_10_49,6099,6099,6099,0,0,1.0,0.0
34080004_10_49,7231,7231,7231,0,0,1.0,0.0
34120008_10_49,7476,7476,7476,0,0,1.0,0.0
35002001_10_A,1243,5733,1243,4490,0,1.0,361.2228479485116
35004001_10_49,6964,6964,6964,0,0,1.0,0.0
35006001_10_49,3859,3859,3859,0,0,1.0,0.0
35016010_10_49,6807,6807,6807,0,0,1.0,0.0
35016012_10_49,4380,4380,4380,0,0,1.0,0.0
35017001_10_47,5834,5834,5834,0,0,1.0,0.0
35017002_10_47,6770,6770,6770,0,0,1.0,0.0
35017003_10_49,4325,4325,4325,0,0,1.0,0.0
35017004_10_49,5372,5372,5372,0,0,1.0,0.0
35017005_10_49,2589,5260,2589,2671,0,1.0,103.16724604094244
35019001_10_A,5897,5897,5897,0,0,1.0,0.0
35019004_10_47,6319,6319,6319,0,0,1.0,0.0
35022003_10_49,3509,3509,3509,0,0,1.0,0.0
35024001_10_49,2404,6363,2404,3959,0,1.0,164.6838602329451
35024002_10_49,6560,6560,6560,0,0,1.0,0.0
35026001_10_49,7131,7131,7131,0,0,1.0,0.0
35026003_10_49,3904,3904,3904,0,0,1.0,0.0
35026004_10_49,6389,6389,6389,0,0,1.0,0.0
36024001_10_49,6229,6229,6229,0,0,1.0,0.0
36038008_10_49,7127,7127,7127,0,0,1.0,0.0
36038010_10_49,6346,6346,6346,0,0,1.0,0.0
36041001_10_47,4179,6982,4179,2803,0,1.0,67.07346255084948
36057019_10_49,6552,6552,6552,0,0,1.0,0.0
36057022_10_47,6882,6882,6882,0,0,1.0,0.0
36057026_10_49,6049,6049,6049,0,0,1.0,0.0
37274010_10_49,7462,7462,7462,0,0,1.0,0.0
37274011_10_49,7249,7249,7249,0,0,1.0,0.0
38004001_10_49,5109,5109,5109,0,0,1.0,0.0
38005001_10_46,5952,5952,5952,0,0,1.0,0.0
38006001_10_46,6757,6757,6757,0,0,1.0,0.0
38006002_10_46,4287,4287,4287,0,0,1.0,0.0
38006003_10_46,6655,6655,6655,0,0,1.0,0.0
38008001_10_49,6102,6102,6102,0,0,1.0,0.0
38011004_10_49,6145,6145,6145,0,0,1.0,0.0
38011005_10_49,6685,6685,6685,0,0,1.0,0.0
38011006_10_A,6421,6421,6421,0,0,1.0,0.0
38011007_10_49,6361,6361,6361,0,0,1.0,0.0
38017001_10_46,6588,6588,6588,0,0,1.0,0.0
38017002_10_46,7186,7186,7186,0,0,1.0,0.0
38017003_10_46,6640,6640,6640,0,0,1.0,0.0
38033001_10_49,3381,3381,3381,0,0,1.0,0.0
38036001_10_49,4602,4602,4602,0,0,1.0,0.0
38036002_10_49,6846,6846,6846,0,0,1.0,0.0
38037001_10_49,6294,6294,6294,0,0,1.0,0.0
38038012_10_46,5719,5719,5719,0,0,1.0,0.0
38038021_10_49,5751,5751,5751,0,0,1.0,0.0
38038022_10_46,1249,5007,1249,3758,0,1.0,300.8807045636509
38038023_10_49,5351,5351,5351,0,0,1.0,0.0
38038025_10_46,5875,5875,5875,0,0,1.0,0.0
38038026_10_46,2282,5094,2282,2812,0,1.0,123.22524101665206
38038027_10_49,4895,4895,4895,0,0,1.0,0.0
38048001_10_49,424,4223,424,3799,0,1.0,895.9905660377359
39008001_10_49,7126,7126,7126,0,0,1.0,0.0
39016003_10_49,6387,6387,6387,0,0,1.0,0.0
39020001_10_49,5837,5837,5837,0,0,1.0,0.0
39025001_10_49,5860,5860,5860,0,0,1.0,0.0
39059001_10_49,6719,6719,6719,0,0,1.0,0.0
39075005_10_49,6827,6827,6827,0,0,1.0,0.0
39075006_10_49,6635,6635,6635,0,0,1.0,0.0
39086001_10_49,6425,6425,6425,0,0,1.0,0.0
39087003_10_49,5878,5878,5878,0,0,1.0,0.0
39087004_10_49,6162,6162,6162,0,0,1.0,0.0
39087005_10_49,6869,6869,6869,0,0,1.0,0.0
40194002_10_49,7206,7206,7206,0,0,1.0,0.0
41004006_10_49,5482,5482,5482,0,0,1.0,0.0
41049001_10_49,4878,4878,4878,0,0,1.0,0.0
41059001_10_49,976,5477,976,4501,0,1.0,461.16803278688525
41088001_10_49,2939,2939,2939,0,0,1.0,0.0
41091009_10_49,5720,5720,5720,0,0,1.0,0.0
41091015_10_49,503,4471,503,3968,0,1.0,788.8667992047714
41091016_10_49,7305,7305,7305,0,0,1.0,0.0
41091018_10_49,4216,4216,4216,0,0,1.0,0.0
42173001_10_49,7028,7028,7028,0,0,1.0,0.0
43123005_10_47,5456,5456,5456,0,0,1.0,0.0
45081004_10_49,2336,4825,2336,2489,0,1.0,106.54965753424656
45168002_10_49,5086,5086,5086,0,0,1.0,0.0
46010001_10_46,497,1969,497,1472,0,1.0,296.17706237424545
46028001_10_46,2149,3104,2149,955,0,1.0,44.43927408096789
46095001_10_46,5691,5691,5691,0,0,1.0,0.0
46102002_10_46,6175,6175,6175,0,0,1.0,0.0
46220003_10_46,2333,5573,2333,3240,0,1.0,138.87698242606086
46220010_10_46,6411,6411,6411,0,0,1.0,0.0
46250030_10_46,6679,6679,6679,0,0,1.0,0.0
46250046_10_46,164,5354,164,5190,0,1.0,3164.6341463414633
46250047_10_46,1274,6104,1274,4830,0,1.0,379.1208791208791
46250048_10_46,3852,6207,3852,2355,0,1.0,61.137071651090345
46250054_10_46,3050,3050,3050,0,0,1.0,0.0
46258001_10_46,5755,5755,5755,0,0,1.0,0.0
47085003_10_49,4644,5448,4644,804,0,1.0,17.31266149870801
47186027_10_49,4076,5504,4076,1428,0,1.0,35.03434739941119
47186029_10_49,2198,5990,2198,3792,0,1.0,172.52047315741584
47186030_10_49,6093,6093,6093,0,0,1.0,0.0
47186031_10_49,4110,6180,4110,2070,0,1.0,50.36496350364964
48002001_10_47,5738,5738,5738,0,0,1.0,0.0
48002002_10_49,4628,4628,4628,0,0,1.0,0.0
48003001_10_49,4582,4582,4582,0,0,1.0,0.0
48013006_10_47,4641,4788,4641,147,0,1.0,3.167420814479638
48015002_10_49,6479,6479,6479,0,0,1.0,0.0
48020003_10_47,6578,6578,6578,0,0,1.0,0.0
48020006_10_47,2032,3193,2032,1161,0,1.0,57.13582677165354
48020062_10_49,7130,7130,7130,0,0,1.0,0.0
48027001_10_47,1380,5395,1380,4015,0,1.0,290.94202898550725
48044006_10_49,420,3722,420,3302,0,1.0,786.1904761904761
48068001_10_47,6073,6073,6073,0,0,1.0,0.0
48071002_10_47,1746,6197,1746,4451,0,1.0,254.9255441008018
48071004_10_49,4379,4379,4379,0,0,1.0,0.0
48082004_10_49,4339,4339,4339,0,0,1.0,0.0
48096001_10_49,6311,6311,6311,0,0,1.0,0.0
48902006_10_49,4677,5959,4677,1282,0,1.0,27.410733376095784
48904002_10_47,6467,6467,6467,0,0,1.0,0.0
49275002_10_49,7104,7104,7104,0,0,1.0,0.0
50297029_10_49,5812,5812,5812,0,0,1.0,0.0
50297032_10_49,4858,4858,4858,0,0,1.0,0.0
50297036_10_49,2242,4583,2242,2341,0,1.0,104.41570026761819
50297039_10_49,0,5091,0,5091,0,,
50297040_10_49,6595,6595,6595,0,0,1.0,0.0
51001001_10_49,5618,5618,5618,0,0,1.0,0.0
