station_id,province,municipality,station_code,magnitude,years_present,unique_identity_count,id_stable,station_code_point_count,identity_values
11008001_10_49,11,8,1,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""8"", ""1"", ""10""]]"
11008003_10_49,11,8,3,10,2023,1,YES,1,"[[""11"", ""8"", ""3"", ""10""]]"
11008006_10_49,11,8,6,10,2023,1,YES,1,"[[""11"", ""8"", ""6"", ""10""]]"
11008009_10_49,11,8,9,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""8"", ""9"", ""10""]]"
11012002_10_49,11,12,2,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""12"", ""2"", ""10""]]"
11020003_10_49,11,20,3,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""20"", ""3"", ""10""]]"
11020004_10_49,11,20,4,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""20"", ""4"", ""10""]]"
11022005_10_49,11,22,5,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""22"", ""5"", ""10""]]"
11026001_10_49,11,26,1,10,"2020,2023",1,YES,1,"[[""11"", ""26"", ""1"", ""10""]]"
11028001_10_49,11,28,1,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""28"", ""1"", ""10""]]"
11031001_10_49,11,31,1,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""31"", ""1"", ""10""]]"
11033003_10_49,11,33,3,10,2023,1,YES,1,"[[""11"", ""33"", ""3"", ""10""]]"
11033004_10_49,11,33,4,10,"2020,2021,2022,2023",1,YES,1,"[[""11"", ""33"", ""4"", ""10""]]"
12005005_10_49,12,5,5,10,"2020,2021,2022,2023",1,YES,1,"[[""12"", ""5"", ""5"", ""10""]]"
12009007_10_46,12,9,7,10,"2020,2021,2022,2023",1,YES,1,"[[""12"", ""9"", ""7"", ""10""]]"
12028001_10_46,12,28,1,10,"2020,2021,2022,2023",1,YES,1,"[[""12"", ""28"", ""1"", ""10""]]"
12032001_10_46,12,32,1,10,"2020,2021,2022,2023",1,YES,1,"[[""12"", ""32"", ""1"", ""10""]]"
12040008_10_46,12,40,8,10,"2020,2021,2022,2023",1,YES,1,"[[""12"", ""40"", ""8"", ""10""]]"
12040010_10_46,12,40,10,10,"2020,2021,2022,2023",1,YES,1,"[[""12"", ""40"", ""10"", ""10""]]"
12040020_10_46,12,40,20,10,"2022,2023",1,YES,1,"[[""12"", ""40"", ""20"", ""10""]]"
12140002_10_46,12,140,2,10,"2020,2021,2022,2023",1,YES,1,"[[""12"", ""140"", ""2"", ""10""]]"
12141002_10_46,12,141,2,10,"2020,2021,2022,2023",1,YES,1,"[[""12"", ""141"", ""2"", ""10""]]"
13034002_10_49,13,34,2,10,"2020,2021,2022,2023",1,YES,1,"[[""13"", ""34"", ""2"", ""10""]]"
13071015_10_49,13,71,15,10,"2020,2021,2022,2023",1,YES,1,"[[""13"", ""71"", ""15"", ""10""]]"
13071017_10_49,13,71,17,10,"2020,2021,2022,2023",1,YES,1,"[[""13"", ""71"", ""17"", ""10""]]"
14021006_10_49,14,21,6,10,"2020,2021,2022,2023",1,YES,1,"[[""14"", ""21"", ""6"", ""10""]]"
14021007_10_49,14,21,7,10,"2020,2021,2022,2023",1,YES,1,"[[""14"", ""21"", ""7"", ""10""]]"
14021009_10_49,14,21,9,10,"2020,2021,2022,2023",1,YES,1,"[[""14"", ""21"", ""9"", ""10""]]"
14026002_10_49,14,26,2,10,"2020,2021,2022,2023",1,YES,1,"[[""14"", ""26"", ""2"", ""10""]]"
14047001_10_49,14,47,1,10,"2020,2021,2022",1,YES,1,"[[""14"", ""47"", ""1"", ""10""]]"
15005011_10_47,15,5,11,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""5"", ""11"", ""10""]]"
15005014_10_49,15,5,14,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""5"", ""14"", ""10""]]"
15005015_10_A,15,5,15,10,"2022,2023",1,YES,1,"[[""15"", ""5"", ""15"", ""10""]]"
15023004_10_47,15,23,4,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""23"", ""4"", ""10""]]"
15024001_10_47,15,24,1,10,"2020,2021",1,YES,1,"[[""15"", ""24"", ""1"", ""10""]]"
15026001_10_47,15,26,1,10,"2020,2021",1,YES,1,"[[""15"", ""26"", ""1"", ""10""]]"
15030001_10_49,15,30,1,10,"2022,2023",1,YES,1,"[[""15"", ""30"", ""1"", ""10""]]"
15030021_10_47,15,30,21,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""30"", ""21"", ""10""]]"
15030027_10_49,15,30,27,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""30"", ""27"", ""10""]]"
15030028_10_49,15,30,28,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""30"", ""28"", ""10""]]"
15032001_10_46,15,32,1,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""32"", ""1"", ""10""]]"
15034008_10_47,15,34,8,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""34"", ""8"", ""10""]]"
15036003_10_49,15,36,3,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""36"", ""3"", ""10""]]"
15036004_10_47,15,36,4,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""36"", ""4"", ""10""]]"
15041001_10_47,15,41,1,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""41"", ""1"", ""10""]]"
15055003_10_49,15,55,3,10,"2020,2021",1,YES,2,"[[""15"", ""55"", ""3"", ""10""]]"
15055003_10_A,15,55,3,10,"2022,2023",1,YES,2,"[[""15"", ""55"", ""3"", ""10""]]"
15059002_10_47,15,59,2,10,"2020,2021",1,YES,1,"[[""15"", ""59"", ""2"", ""10""]]"
15070002_10_47,15,70,2,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""70"", ""2"", ""10""]]"
15070006_10_47,15,70,6,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""70"", ""6"", ""10""]]"
15078005_10_49,15,78,5,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""78"", ""5"", ""10""]]"
15078007_10_49,15,78,7,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""78"", ""7"", ""10""]]"
15078008_10_49,15,78,8,10,"2020,2021,2022,2023",1,YES,1,"[[""15"", ""78"", ""8"", ""10""]]"
16078001_10_49,16,78,1,10,"2020,2021,2022,2023",1,YES,1,"[[""16"", ""78"", ""1"", ""10""]]"
18021001_10_49,18,21,1,10,"2020,2021,2022,2023",1,YES,1,"[[""18"", ""21"", ""1"", ""10""]]"
18087007_10_49,18,87,7,10,"2020,2021,2022,2023",1,YES,1,"[[""18"", ""87"", ""7"", ""10""]]"
18087010_10_49,18,87,10,10,"2020,2021,2022,2023",1,YES,1,"[[""18"", ""87"", ""10"", ""10""]]"
18140001_10_49,18,140,1,10,"2020,2021,2022,2023",1,YES,1,"[[""18"", ""140"", ""1"", ""10""]]"
19130001_10_49,19,130,1,10,"2020,2021,2022,2023",1,YES,1,"[[""19"", ""130"", ""1"", ""10""]]"
20009001_10_49,20,9,1,10,"2021,2022,2023",1,YES,1,"[[""20"", ""9"", ""1"", ""10""]]"
20016001_10_47,20,16,1,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""16"", ""1"", ""10""]]"
20018001_10_47,20,18,1,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""18"", ""1"", ""10""]]"
20019001_10_49,20,19,1,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""19"", ""1"", ""10""]]"
20040001_10_47,20,40,1,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""40"", ""1"", ""10""]]"
20055001_10_47,20,55,1,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""55"", ""1"", ""10""]]"
20069002_10_49,20,69,2,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""69"", ""2"", ""10""]]"
20069004_10_47,20,69,4,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""69"", ""4"", ""10""]]"
20069005_10_47,20,69,5,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""69"", ""5"", ""10""]]"
20069006_10_46,20,69,6,10,"2021,2022,2023",1,YES,2,"[[""20"", ""69"", ""6"", ""10""]]"
20069006_10_47,20,69,6,10,2020,1,YES,2,"[[""20"", ""69"", ""6"", ""10""]]"
20069007_10_49,20,69,7,10,"2021,2022,2023",1,YES,1,"[[""20"", ""69"", ""7"", ""10""]]"
20071001_10_47,20,71,1,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""71"", ""1"", ""10""]]"
20073001_10_49,20,73,1,10,"2021,2022,2023",1,YES,1,"[[""20"", ""73"", ""1"", ""10""]]"
20080001_10_49,20,80,1,10,"2020,2021,2022,2023",1,YES,1,"[[""20"", ""80"", ""1"", ""10""]]"
20902001_10_49,20,902,1,10,"2021,2022,2023",1,YES,1,"[[""20"", ""902"", ""1"", ""10""]]"
21005002_10_49,21,5,2,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""5"", ""2"", ""10""]]"
21041008_10_49,21,41,8,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""41"", ""8"", ""10""]]"
21041010_10_49,21,41,10,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""41"", ""10"", ""10""]]"
21041012_10_49,21,41,12,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""41"", ""12"", ""10""]]"
21041015_10_49,21,41,15,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""41"", ""15"", ""10""]]"
21041016_10_49,21,41,16,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""41"", ""16"", ""10""]]"
21041017_10_49,21,41,17,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""41"", ""17"", ""10""]]"
21050001_10_49,21,50,1,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""50"", ""1"", ""10""]]"
21050003_10_49,21,50,3,10,"2020,2021",1,YES,1,"[[""21"", ""50"", ""3"", ""10""]]"
21053003_10_49,21,53,3,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""53"", ""3"", ""10""]]"
21055004_10_49,21,55,4,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""55"", ""4"", ""10""]]"
21055005_10_49,21,55,5,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""55"", ""5"", ""10""]]"
21055007_10_49,21,55,7,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""55"", ""7"", ""10""]]"
21060002_10_49,21,60,2,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""60"", ""2"", ""10""]]"
21064002_10_49,21,64,2,10,"2020,2021,2022,2023",1,YES,1,"[[""21"", ""64"", ""2"", ""10""]]"
23010002_10_49,23,10,2,10,"2020,2021,2022,2023",1,YES,1,"[[""23"", ""10"", ""2"", ""10""]]"
23050003_10_49,23,50,3,10,"2020,2021,2022,2023",1,YES,1,"[[""23"", ""50"", ""3"", ""10""]]"
23097001_10_49,23,97,1,10,"2020,2021,2022,2023",1,YES,1,"[[""23"", ""97"", ""1"", ""10""]]"
24025001_10_49,24,25,1,10,"2020,2021,2022",1,YES,1,"[[""24"", ""25"", ""1"", ""10""]]"
24038001_10_47,24,38,1,10,"2020,2021,2022,2023",1,YES,1,"[[""24"", ""38"", ""1"", ""10""]]"
24057003_10_47,24,57,3,10,2020,1,YES,1,"[[""24"", ""57"", ""3"", ""10""]]"
24061001_10_49,24,61,1,10,2020,1,YES,1,"[[""24"", ""61"", ""1"", ""10""]]"
24064001_10_49,24,64,1,10,"2021,2022",1,YES,1,"[[""24"", ""64"", ""1"", ""10""]]"
24089006_10_49,24,89,6,10,"2020,2021,2022,2023",1,YES,1,"[[""24"", ""89"", ""6"", ""10""]]"
24089010_10_49,24,89,10,10,"2020,2021,2022,2023",1,YES,1,"[[""24"", ""89"", ""10"", ""10""]]"
24115015_10_49,24,115,15,10,"2020,2021,2022",1,YES,1,"[[""24"", ""115"", ""15"", ""10""]]"
24115017_10_49,24,115,17,10,2023,1,YES,1,"[[""24"", ""115"", ""17"", ""10""]]"
24134006_10_49,24,134,6,10,"2020,2021,2022,2023",1,YES,1,"[[""24"", ""134"", ""6"", ""10""]]"
24134007_10_54,24,134,7,10,"2021,2022",1,YES,1,"[[""24"", ""134"", ""7"", ""10""]]"
24181001_10_49,24,181,1,10,"2020,2021,2022,2023",1,YES,1,"[[""24"", ""181"", ""1"", ""10""]]"
24206001_10_47,24,206,1,10,"2021,2022",1,YES,1,"[[""24"", ""206"", ""1"", ""10""]]"
24206002_10_47,24,206,2,10,"2021,2022",1,YES,1,"[[""24"", ""206"", ""2"", ""10""]]"
25209001_10_47,25,209,1,10,2023,1,YES,1,"[[""25"", ""209"", ""1"", ""10""]]"
26011001_10_49,26,11,1,10,"2020,2021,2022,2023",1,YES,1,"[[""26"", ""11"", ""1"", ""10""]]"
26019001_10_49,26,19,1,10,"2020,2021,2022,2023",1,YES,1,"[[""26"", ""19"", ""1"", ""10""]]"
26066001_10_49,26,66,1,10,"2020,2021,2022,2023",1,YES,1,"[[""26"", ""66"", ""1"", ""10""]]"
26089001_10_49,26,89,1,10,"2020,2021,2022,2023",1,YES,1,"[[""26"", ""89"", ""1"", ""10""]]"
26117001_10_49,26,117,1,10,"2020,2021,2022,2023",1,YES,1,"[[""26"", ""117"", ""1"", ""10""]]"
27013002_10_47,27,13,2,10,"2020,2021,2022,2023",1,YES,1,"[[""27"", ""13"", ""2"", ""10""]]"
27025015_10_47,27,25,15,10,"2020,2021,2022,2023",1,YES,1,"[[""27"", ""25"", ""15"", ""10""]]"
27028005_10_49,27,28,5,10,"2020,2021,2022,2023",1,YES,1,"[[""27"", ""28"", ""5"", ""10""]]"
27033001_10_47,27,33,1,10,"2020,2021,2022,2023",1,YES,1,"[[""27"", ""33"", ""1"", ""10""]]"
27038003_10_47,27,38,3,10,"2020,2021",1,YES,1,"[[""27"", ""38"", ""3"", ""10""]]"
27038004_10_47,27,38,4,10,"2020,2021",1,YES,2,"[[""27"", ""38"", ""4"", ""10""]]"
27038004_10_A,27,38,4,10,"2022,2023",1,YES,2,"[[""27"", ""38"", ""4"", ""10""]]"
27057001_10_47,27,57,1,10,"2021,2022,2023",1,YES,1,"[[""27"", ""57"", ""1"", ""10""]]"
27065004_10_47,27,65,4,10,"2020,2021,2022,2023",1,YES,1,"[[""27"", ""65"", ""4"", ""10""]]"
27902002_10_A,27,902,2,10,"2022,2023",1,YES,1,"[[""27"", ""902"", ""2"", ""10""]]"
28005002_10_49,28,5,2,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""5"", ""2"", ""10""]]"
28006004_10_49,28,6,4,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""6"", ""4"", ""10""]]"
28013002_10_49,28,13,2,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""13"", ""2"", ""10""]]"
28014002_10_49,28,14,2,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""14"", ""2"", ""10""]]"
28016001_10_49,28,16,1,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""16"", ""1"", ""10""]]"
28045002_10_49,28,45,2,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""45"", ""2"", ""10""]]"
28049003_10_49,28,49,3,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""49"", ""3"", ""10""]]"
28058004_10_49,28,58,4,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""58"", ""4"", ""10""]]"
28065014_10_49,28,65,14,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""65"", ""14"", ""10""]]"
28067001_10_49,28,67,1,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""67"", ""1"", ""10""]]"
28074007_10_49,28,74,7,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""74"", ""7"", ""10""]]"
28079008_10_47,28,79,8,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""8"", ""10""]]"
28079018_10_47,28,79,18,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""18"", ""10""]]"
28079024_10_47,28,79,24,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""24"", ""10""]]"
28079036_10_47,28,79,36,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""36"", ""10""]]"
28079038_10_47,28,79,38,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""38"", ""10""]]"
28079040_10_47,28,79,40,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""40"", ""10""]]"
28079047_10_47,28,79,47,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""47"", ""10""]]"
28079048_10_47,28,79,48,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""48"", ""10""]]"
28079050_10_47,28,79,50,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""50"", ""10""]]"
28079055_10_47,28,79,55,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""55"", ""10""]]"
28079056_10_47,28,79,56,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""56"", ""10""]]"
28079057_10_47,28,79,57,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""57"", ""10""]]"
28079060_10_47,28,79,60,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""79"", ""60"", ""10""]]"
28080003_10_49,28,80,3,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""80"", ""3"", ""10""]]"
28092005_10_49,28,92,5,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""92"", ""5"", ""10""]]"
28102001_10_49,28,102,1,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""102"", ""1"", ""10""]]"
28120001_10_49,28,120,1,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""120"", ""1"", ""10""]]"
28123002_10_49,28,123,2,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""123"", ""2"", ""10""]]"
28127004_10_49,28,127,4,10,2023,1,YES,1,"[[""28"", ""127"", ""4"", ""10""]]"
28133002_10_49,28,133,2,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""133"", ""2"", ""10""]]"
28134002_10_49,28,134,2,10,2023,1,YES,1,"[[""28"", ""134"", ""2"", ""10""]]"
28148004_10_49,28,148,4,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""148"", ""4"", ""10""]]"
28171001_10_49,28,171,1,10,"2020,2021,2022,2023",1,YES,1,"[[""28"", ""171"", ""1"", ""10""]]"
29067005_10_49,29,67,5,10,"2020,2021,2022,2023",1,YES,1,"[[""29"", ""67"", ""5"", ""10""]]"
29067006_10_49,29,67,6,10,"2020,2021,2022,2023",1,YES,1,"[[""29"", ""67"", ""6"", ""10""]]"
29067007_10_49,29,67,7,10,"2020,2021,2022,2023",1,YES,1,"[[""29"", ""67"", ""7"", ""10""]]"
29067008_10_49,29,67,8,10,"2020,2021,2022,2023",1,YES,1,"[[""29"", ""67"", ""8"", ""10""]]"
29069002_10_49,29,69,2,10,2020,1,YES,1,"[[""29"", ""69"", ""2"", ""10""]]"
30005002_10_47,30,5,2,10,"2020,2021,2022,2023",1,YES,1,"[[""30"", ""5"", ""2"", ""10""]]"
30015001_10_47,30,15,1,10,"2020,2021,2022,2023",1,YES,1,"[[""30"", ""15"", ""1"", ""10""]]"
30016001_10_47,30,16,1,10,"2020,2021,2022,2023",1,YES,1,"[[""30"", ""16"", ""1"", ""10""]]"
30016018_10_47,30,16,18,10,"2020,2021,2022,2023",1,YES,1,"[[""30"", ""16"", ""18"", ""10""]]"
30016020_10_47,30,16,20,10,"2020,2021,2022",1,YES,2,"[[""30"", ""16"", ""20"", ""10""]]"
30016020_10_A,30,16,20,10,2023,1,YES,2,"[[""30"", ""16"", ""20"", ""10""]]"
30016021_10_47,30,16,21,10,"2020,2021,2022,2023",1,YES,1,"[[""30"", ""16"", ""21"", ""10""]]"
30024002_10_47,30,24,2,10,"2020,2021,2022,2023",1,YES,1,"[[""30"", ""24"", ""2"", ""10""]]"
30030007_10_49,30,30,7,10,"2020,2021,2022,2023",1,YES,1,"[[""30"", ""30"", ""7"", ""10""]]"
31010001_10_49,31,10,1,10,"2020,2021,2022,2023",1,YES,1,"[[""31"", ""10"", ""1"", ""10""]]"
31107001_10_49,31,107,1,10,"2020,2021,2022,2023",1,YES,1,"[[""31"", ""107"", ""1"", ""10""]]"
31149002_10_49,31,149,2,10,"2020,2021,2022,2023",1,YES,1,"[[""31"", ""149"", ""2"", ""10""]]"
31191001_10_49,31,191,1,10,"2020,2021,2022,2023",1,YES,1,"[[""31"", ""191"", ""1"", ""10""]]"
31201012_10_49,31,201,12,10,"2020,2021,2022,2023",1,YES,1,"[[""31"", ""201"", ""12"", ""10""]]"
31201013_10_49,31,201,13,10,2020,1,YES,1,"[[""31"", ""201"", ""13"", ""10""]]"
